Date,Open,High,Low,Close
12/04/2023,"37,994","39,770","37,994","39,728"
12/03/2023,"37,965","38,084","37,629","37,994"
12/02/2023,"37,353","38,009","37,194","37,965"
12/01/2023,"36,662","37,467","36,608","37,353"
11/30/2023,"36,617","36,696","36,289","36,662"
11/29/2023,"36,758","37,041","36,370","36,617"
11/28/2023,"36,105","37,000","35,978","36,758"
11/27/2023,"36,455","36,542","35,918","36,105"
11/26/2023,"36,475","36,508","36,118","36,455"
11/25/2023,"36,532","36,577","36,167","36,475"
11/24/2023,"36,288","36,771","36,274","36,532"
11/23/2023,"36,476","36,573","35,960","36,288"
11/22/2023,"35,846","36,651","34,915","36,476"
11/21/2023,"36,489","36,653","35,449","35,846"
11/20/2023,"36,061","36,685","35,897","36,490"
11/19/2023,"35,622","36,075","35,490","36,055"
11/18/2023,"35,481","35,894","35,310","35,651"
11/17/2023,"35,064","35,702","34,990","35,481"
11/16/2023,"36,648","36,914","34,724","35,087"
11/15/2023,"34,690","36,763","34,492","36,648"
11/14/2023,"35,528","35,801","34,286","34,689"
11/13/2023,"36,209","36,379","35,406","35,528"
11/12/2023,"36,037","36,274","35,860","36,221"
11/11/2023,"35,664","36,327","35,659","36,037"
11/10/2023,"35,611","35,937","35,430","35,663"
11/09/2023,"34,677","36,972","34,674","35,611"
11/08/2023,"34,628","34,889","34,237","34,676"
11/07/2023,"34,126","34,863","33,661","34,628"
11/06/2023,"33,743","34,410","33,743","34,126"
11/05/2023,"33,884","34,416","33,679","33,743"
11/04/2023,"33,722","34,056","33,703","33,884"
11/03/2023,"34,026","34,069","33,255","33,722"
11/02/2023,"34,395","34,997","33,511","34,026"
11/01/2023,"33,755","34,395","33,259","34,395"
10/31/2023,"33,573","33,812","33,219","33,755"
10/30/2023,"33,694","33,906","33,275","33,573"
10/29/2023,"33,260","33,872","33,082","33,694"
10/28/2023,"32,967","33,531","32,915","33,260"
10/27/2023,"33,303","33,379","32,579","32,967"
10/26/2023,"33,770","33,942","32,887","33,303"
10/25/2023,"32,777","34,171","32,636","33,770"
10/24/2023,"30,723","34,153","30,641","32,777"
10/23/2023,"29,082","30,974","28,965","30,758"
10/22/2023,"29,246","29,418","28,949","29,082"
10/21/2023,"28,817","29,483","28,719","29,241"
10/20/2023,"27,994","29,334","27,874","28,817"
10/19/2023,"27,524","28,103","27,446","27,981"
10/18/2023,"27,729","28,076","27,476","27,524"
10/17/2023,"27,618","27,879","27,376","27,728"
10/16/2023,"26,495","28,816","26,354","27,618"
