Date,Open,High,Low,Close
12/03/2022,"1,226.21","1,238.53","1,191.42","1,197.98"
12/02/2022,"1,212.50","1,230.20","1,204.32","1,226.21"
12/01/2022,"1,245.58","1,253.44","1,204.60","1,213.19"
11/30/2022,"1,180.12","1,250.91","1,173.00","1,245.53"
11/29/2022,"1,133.73","1,186.93","1,120.00","1,180.11"
11/28/2022,"1,168.98","1,171.88","1,107.95","1,133.72"
11/27/2022,"1,162.80","1,174.52","1,150.21","1,168.99"
11/26/2022,"1,151.59","1,182.34","1,148.33","1,163.00"
11/25/2022,"1,146.55","1,156.57","1,123.36","1,152.44"
11/24/2022,"1,123.66","1,165.15","1,123.12","1,146.31"
11/23/2022,"1,095.58","1,142.26","1,091.72","1,123.92"
11/22/2022,"1,067.64","1,108.53","1,046.82","1,096.52"
11/21/2022,"1,103.82","1,115.67","1,053.45","1,065.83"
11/20/2022,"1,171.98","1,190.58","1,101.57","1,103.60"
11/19/2022,"1,169.59","1,173.39","1,159.80","1,171.98"
11/18/2022,"1,161.97","1,184.41","1,154.00","1,169.86"
11/17/2022,"1,159.60","1,179.99","1,142.01","1,161.97"
11/16/2022,"1,203.24","1,219.84","1,140.02","1,159.64"
11/15/2022,"1,187.16","1,237.00","1,173.92","1,202.90"
11/14/2022,"1,171.62","1,247.76","1,136.32","1,187.24"
11/13/2022,"1,209.99","1,225.29","1,158.68","1,172.40"
11/12/2022,"1,222.67","1,246.70","1,194.67","1,210.00"
11/11/2022,"1,293.13","1,301.71","1,167.76","1,222.67"
11/10/2022,"1,106.00","1,327.93","1,073.05","1,293.13"
11/09/2022,"1,325.33","1,336.47","1,101.07","1,105.00"
11/08/2022,"1,573.30","1,573.33","1,239.97","1,329.59"
11/07/2022,"1,618.53","1,622.05","1,560.17","1,573.30"
11/06/2022,"1,637.05","1,645.78","1,614.25","1,619.02"
11/05/2022,"1,653.39","1,672.99","1,631.52","1,637.05"
11/04/2022,"1,580.21","1,688.29","1,564.60","1,654.20"
11/03/2022,"1,539.69","1,594.58","1,531.31","1,580.74"
11/02/2022,"1,595.74","1,626.74","1,530.33","1,541.27"
11/01/2022,"1,583.57","1,623.29","1,568.02","1,595.88"
10/31/2022,"1,600.68","1,644.26","1,569.59","1,583.81"
10/30/2022,"1,632.29","1,644.25","1,583.00","1,600.68"
10/29/2022,"1,566.20","1,664.95","1,554.78","1,632.17"
10/28/2022,"1,533.30","1,580.54","1,493.24","1,565.78"
10/27/2022,"1,541.06","1,577.99","1,513.48","1,533.32"
10/26/2022,"1,477.73","1,587.00","1,453.48","1,541.06"
