https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume JPY,Volume ETH
1701216000000,2023-11-29 00:00:00,ETH/JPY,303290,303290,299090,299090,31105.360000000004,0.10400000000000001
1701129600000,2023-11-28 00:00:00,ETH/JPY,298790,303910,298420,303910,147331.2281652,0.48478572000000003
1700956800000,2023-11-26 00:00:00,ETH/JPY,312140,312140,306700,306870,627089.3237172001,2.04350156
1700870400000,2023-11-25 00:00:00,ETH/JPY,311430,311790,311310,311380,330810.112,1.0624
1700784000000,2023-11-24 00:00:00,ETH/JPY,311030,316500,309110,311130,423242.2792926,1.36033902
1700697600000,2023-11-23 00:00:00,ETH/JPY,307560,308690,306170,306280,99678.826,0.32545
1700611200000,2023-11-22 00:00:00,ETH/JPY,302480,311000,302480,311000,180644.35,0.58085
1700524800000,2023-11-21 00:00:00,ETH/JPY,290380,298510,289980,289980,246459.4043274,0.84991863
1700438400000,2023-11-20 00:00:00,ETH/JPY,300310,303460,296260,301430,394940.87457740004,1.31022418
1700352000000,2023-11-19 00:00:00,ETH/JPY,296580,299280,296260,299280,116173.447956,0.38817645
1700179200000,2023-11-17 00:00:00,ETH/JPY,294950,294950,286690,293380,457209.64686160005,1.55842132
1700092800000,2023-11-16 00:00:00,ETH/JPY,309070,309070,292890,297160,2346827.5870028003,7.8975218300000005
1700006400000,2023-11-15 00:00:00,ETH/JPY,297000,309280,297000,309280,293778.5338208,0.94987886
1699920000000,2023-11-14 00:00:00,ETH/JPY,310850,310850,298570,298570,623442.1837802001,2.0880938600000003
1699833600000,2023-11-13 00:00:00,ETH/JPY,312090,312090,312090,312090,32155.706289600002,0.10303344
1699747200000,2023-11-12 00:00:00,ETH/JPY,308070,311090,308070,309680,395007.36912,1.275534
1699660800000,2023-11-11 00:00:00,ETH/JPY,310800,310800,310800,310800,6008.127636,0.01933117
1699574400000,2023-11-10 00:00:00,ETH/JPY,321180,321180,313970,315540,6218659.637909999,19.7079915
1699488000000,2023-11-09 00:00:00,ETH/JPY,289630,320940,288830,320940,5719917.6893394,17.82238951
1699401600000,2023-11-08 00:00:00,ETH/JPY,283530,287020,283530,285660,211897.11189779997,0.74178083
1699315200000,2023-11-07 00:00:00,ETH/JPY,284660,284750,282980,283460,821862.5889034,2.89939529
1699228800000,2023-11-06 00:00:00,ETH/JPY,281140,284090,281140,283990,399517.1291601,1.4067999900000001
1699142400000,2023-11-05 00:00:00,ETH/JPY,276710,282030,276710,282030,338464.203,1.2001
1699056000000,2023-11-04 00:00:00,ETH/JPY,274520,274520,274520,274520,8263.052,0.0301
1698969600000,2023-11-03 00:00:00,ETH/JPY,268870,269870,268870,269840,473425.159408,1.7544662
1698883200000,2023-11-02 00:00:00,ETH/JPY,276690,276690,271240,271480,1243783.0599435999,4.58149057
1698796800000,2023-11-01 00:00:00,ETH/JPY,273170,277720,273170,277340,2245884.3796942,8.09794613
1698710400000,2023-10-31 00:00:00,ETH/JPY,272730,272730,272730,272730,778442.5861662,2.85426094
1698624000000,2023-10-30 00:00:00,ETH/JPY,269830,273200,269830,270060,940894.090122,3.4840187
1698537600000,2023-10-29 00:00:00,ETH/JPY,270180,270180,270050,270050,69829.5262995,0.25857999
1698451200000,2023-10-28 00:00:00,ETH/JPY,267020,267680,266410,267430,6552.0991832,0.02450024
1698364800000,2023-10-27 00:00:00,ETH/JPY,270790,271290,261090,266290,6086188.7649625,22.85549125
1698278400000,2023-10-26 00:00:00,ETH/JPY,268160,279230,265060,271520,849536.812696,3.12881855
1698192000000,2023-10-25 00:00:00,ETH/JPY,267580,272240,263890,267750,241643.54497500003,0.9024969
1698105600000,2023-10-24 00:00:00,ETH/JPY,265130,276930,264190,267200,4639901.162432,17.36489956
1698019200000,2023-10-23 00:00:00,ETH/JPY,250230,267030,248150,263920,15721865.2329192,59.57057151
1697932800000,2023-10-22 00:00:00,ETH/JPY,243960,249920,243380,249700,67330.898349,0.26964717
1697846400000,2023-10-21 00:00:00,ETH/JPY,240680,245930,238660,244300,146357.845795,0.59909065
1697760000000,2023-10-20 00:00:00,ETH/JPY,234820,243180,234340,240330,250107.14110950002,1.04068215
1697673600000,2023-10-19 00:00:00,ETH/JPY,233930,235260,231410,234670,202194.3167309,0.86161127
1697587200000,2023-10-18 00:00:00,ETH/JPY,233960,237380,233490,234300,55487.141555999995,0.23682092
