https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UST,Volume ETH
1701302400000,2023-11-30 00:00:00,ETH/UST,2028.6,2033.1,2025.2,2030.2,4568.056605802,2.25005251
1701216000000,2023-11-29 00:00:00,ETH/UST,2048.4,2074.8,2019.6,2028.6,2866716.405711018,1413.15015563
1701129600000,2023-11-28 00:00:00,ETH/UST,2027.4,2075.1,1995.4,2048.4,1965073.162148388,959.32101257
1701043200000,2023-11-27 00:00:00,ETH/UST,2062.1,2071.0,1986.1,2027.3,4652472.861427281,2294.91089697
1700956800000,2023-11-26 00:00:00,ETH/UST,2083.0,2093.6,2035.8,2061.8,1596016.7520130342,774.08902513
1700870400000,2023-11-25 00:00:00,ETH/UST,2080.8,2090.6,2066.0,2083.5,2277803.288415465,1093.25811779
1700784000000,2023-11-24 00:00:00,ETH/UST,2061.8,2132.1,2059.7,2080.3,22790777.70753101,10955.52454335
1700697600000,2023-11-23 00:00:00,ETH/UST,2063.5,2087.8,2040.6,2061.3,2273774.1021334743,1103.07771898
1700611200000,2023-11-22 00:00:00,ETH/UST,1931.5,2091.7,1930.0,2064.2,3266962.1677456475,1582.67714744
1700524800000,2023-11-21 00:00:00,ETH/UST,2021.0,2034.1,1932.3,1932.3,3845129.519888397,1989.92367639
1700438400000,2023-11-20 00:00:00,ETH/UST,2011.0,2066.1,1990.5,2021.1,2557430.0688954866,1265.36542917
1700352000000,2023-11-19 00:00:00,ETH/UST,1962.3,2015.1,1943.4,2011.0,1130911.09358025,562.36255275
1700265600000,2023-11-18 00:00:00,ETH/UST,1960.9,1970.9,1917.3,1961.1,779128.145183943,397.29139013
1700179200000,2023-11-17 00:00:00,ETH/UST,1961.5,1991.2,1906.1,1961.1,2458154.039033907,1253.4567533700001
1700092800000,2023-11-16 00:00:00,ETH/UST,2059.1,2089.8,1939.2,1961.0,3969387.73915641,2024.16508881
1700006400000,2023-11-15 00:00:00,ETH/UST,1979.0,2062.0,1967.7,2059.0,2415893.78218847,1173.33355133
1699920000000,2023-11-14 00:00:00,ETH/UST,2053.3,2063.9,1930.1,1978.8,9839312.713254288,4972.36340876
1699833600000,2023-11-13 00:00:00,ETH/UST,2044.3,2117.5,2028.8,2054.8,3275169.9966195324,1593.91181459
1699747200000,2023-11-12 00:00:00,ETH/UST,2053.2,2065.6,2011.7,2044.8,2109666.305758176,1031.72256737
1699660800000,2023-11-11 00:00:00,ETH/UST,2077.3,2089.6,2030.8,2052.6,2771122.709415456,1350.05491056
1699574400000,2023-11-10 00:00:00,ETH/UST,2120.8,2135.2,2065.0,2077.4,11215614.983432185,5398.87117716
1699488000000,2023-11-09 00:00:00,ETH/UST,1888.2,2131.1,1882.9,2119.7,9627549.881985154,4541.93984148
1699401600000,2023-11-08 00:00:00,ETH/UST,1885.7,1904.3,1873.1,1888.2,1147598.473336884,607.77379162
1699315200000,2023-11-07 00:00:00,ETH/UST,1900.8,1907.3,1851.6,1886.5,1275986.549632025,676.37770985
1699228800000,2023-11-06 00:00:00,ETH/UST,1891.7,1913.7,1869.9,1900.3,1333566.300605539,701.76619513
1699142400000,2023-11-05 00:00:00,ETH/UST,1856.6,1911.6,1846.8,1893.2,1704060.554654388,900.09537009
