Date,Open,High,Low,Close
12/03/2022,"0.3733","0.3768","0.3682","0.3720"
12/02/2022,"0.3772","0.3779","0.3648","0.3733"
12/01/2022,"0.3940","0.3948","0.3751","0.3771"
11/30/2022,"0.3865","0.3951","0.3815","0.3940"
11/29/2022,"0.3753","0.3904","0.3693","0.3865"
11/28/2022,"0.3876","0.3893","0.3590","0.3761"
11/27/2022,"0.3839","0.3929","0.3777","0.3876"
11/26/2022,"0.3919","0.3978","0.3803","0.3839"
11/25/2022,"0.3832","0.4013","0.3730","0.3920"
11/24/2022,"0.3650","0.3879","0.3595","0.3832"
11/23/2022,"0.3653","0.3690","0.3565","0.3650"
11/22/2022,"0.3470","0.3660","0.3420","0.3659"
11/21/2022,"0.3499","0.3538","0.3357","0.3471"
11/20/2022,"0.3725","0.3830","0.3495","0.3497"
11/19/2022,"0.3697","0.3735","0.3634","0.3725"
11/18/2022,"0.3687","0.3722","0.3620","0.3697"
11/17/2022,"0.3586","0.3724","0.3568","0.3688"
11/16/2022,"0.3744","0.3768","0.3475","0.3586"
11/15/2022,"0.3614","0.3819","0.3545","0.3738"
11/14/2022,"0.3231","0.3646","0.3110","0.3617"
11/13/2022,"0.3517","0.3554","0.3207","0.3231"
11/12/2022,"0.3626","0.3723","0.3458","0.3518"
11/11/2022,"0.3883","0.3914","0.3541","0.3626"
11/10/2022,"0.3323","0.3935","0.3177","0.3879"
11/09/2022,"0.4027","0.4095","0.3288","0.3323"
11/08/2022,"0.4697","0.4697","0.3397","0.4036"
11/07/2022,"0.4872","0.4883","0.4650","0.4697"
11/06/2022,"0.5009","0.5019","0.4843","0.4872"
11/05/2022,"0.4999","0.5119","0.4940","0.5009"
11/04/2022,"0.4693","0.5186","0.4648","0.4999"
11/03/2022,"0.4593","0.4719","0.4572","0.4693"
11/02/2022,"0.4700","0.4726","0.4534","0.4595"
11/01/2022,"0.4620","0.4725","0.4576","0.4700"
10/31/2022,"0.4656","0.4660","0.4507","0.4617"
10/30/2022,"0.4757","0.4777","0.4602","0.4657"
10/29/2022,"0.4730","0.4850","0.4681","0.4757"
10/28/2022,"0.4681","0.4758","0.4589","0.4730"
10/27/2022,"0.4629","0.4778","0.4605","0.4681"
10/26/2022,"0.4630","0.4689","0.4573","0.4634"
10/25/2022,"0.4649","0.4737","0.4489","0.4630"
10/24/2022,"0.4703","0.4795","0.4548","0.4647"
10/23/2022,"0.4718","0.4742","0.4587","0.4703"
10/22/2022,"0.4597","0.4772","0.4572","0.4717"
10/21/2022,"0.4468","0.4649","0.4458","0.4591"
10/20/2022,"0.4727","0.4744","0.4321","0.4468"
10/19/2022,"0.4744","0.4748","0.4620","0.4727"
10/18/2022,"0.4844","0.4913","0.4648","0.4744"
10/17/2022,"0.4915","0.4928","0.4751","0.4844"
10/16/2022,"0.4962","0.5015","0.4820","0.4915"
10/15/2022,"0.5032","0.5038","0.4923","0.4961"
10/14/2022,"0.4982","0.5235","0.4895","0.5035"
10/13/2022,"0.5050","0.5058","0.4534","0.4982"
10/12/2022,"0.5061","0.5115","0.4964","0.5049"
10/11/2022,"0.5367","0.5381","0.4940","0.5064"
10/10/2022,"0.5528","0.5542","0.5281","0.5371"
10/09/2022,"0.5326","0.5627","0.5201","0.5525"
10/08/2022,"0.5279","0.5430","0.5247","0.5326"
10/07/2022,"0.5104","0.5405","0.4922","0.5276"
10/06/2022,"0.4994","0.5145","0.4930","0.5108"
10/05/2022,"0.4797","0.5062","0.4745","0.4994"
10/04/2022,"0.4752","0.4873","0.4597","0.4805"
10/03/2022,"0.4694","0.4775","0.4468","0.4752"
10/02/2022,"0.4851","0.4878","0.4627","0.4691"
10/01/2022,"0.4924","0.4961","0.4769","0.4851"
09/30/2022,"0.4864","0.5188","0.4815","0.4920"
09/29/2022,"0.4521","0.4869","0.4381","0.4856"
09/28/2022,"0.4645","0.4700","0.4378","0.4520"
09/27/2022,"0.4912","0.5050","0.4573","0.4642"
09/26/2022,"0.5164","0.5215","0.4746","0.4912"
09/25/2022,"0.5191","0.5364","0.4907","0.5149"
09/24/2022,"0.5091","0.5450","0.4865","0.5191"
09/23/2022,"0.4890","0.5667","0.4712","0.5087"
09/22/2022,"0.4136","0.5028","0.3914","0.4880"
09/21/2022,"0.4061","0.4362","0.3937","0.4133"
09/20/2022,"0.3804","0.4232","0.3695","0.4058"
09/19/2022,"0.3930","0.3939","0.3403","0.3804"
09/18/2022,"0.3726","0.3972","0.3643","0.3930"
09/17/2022,"0.3444","0.3795","0.3436","0.3726"
09/16/2022,"0.3306","0.3479","0.3220","0.3444"
09/15/2022,"0.3435","0.3447","0.3253","0.3306"
09/14/2022,"0.3386","0.3440","0.3322","0.3435"
09/13/2022,"0.3532","0.3554","0.3348","0.3385"
09/12/2022,"0.3559","0.3564","0.3443","0.3532"
09/11/2022,"0.3530","0.3578","0.3501","0.3555"
09/10/2022,"0.3500","0.3598","0.3467","0.3530"
09/09/2022,"0.3413","0.3525","0.3381","0.3500"
09/08/2022,"0.3355","0.3434","0.3292","0.3413"
09/07/2022,"0.3276","0.3371","0.3170","0.3355"
09/06/2022,"0.3335","0.3440","0.3225","0.3276"
09/05/2022,"0.3338","0.3356","0.3246","0.3335"
09/04/2022,"0.3309","0.3343","0.3294","0.3338"
09/03/2022,"0.3315","0.3351","0.3283","0.3309"
09/02/2022,"0.3339","0.3360","0.3269","0.3315"
09/01/2022,"0.3291","0.3342","0.3222","0.3339"
08/31/2022,"0.3277","0.3343","0.3217","0.3291"
08/30/2022,"0.3330","0.3359","0.3193","0.3277"
08/29/2022,"0.3366","0.3372","0.3202","0.3330"
08/28/2022,"0.3374","0.3386","0.3334","0.3366"
08/27/2022,"0.3427","0.3459","0.3310","0.3374"
08/26/2022,"0.3524","0.3708","0.3340","0.3427"
08/25/2022,"0.3517","0.3533","0.3440","0.3524"
08/24/2022,"0.3467","0.3524","0.3409","0.3516"
08/23/2022,"0.3398","0.3484","0.3354","0.3460"
08/22/2022,"0.3451","0.3469","0.3313","0.3398"
08/21/2022,"0.3318","0.3460","0.3318","0.3451"
08/20/2022,"0.3403","0.3415","0.3300","0.3323"
08/19/2022,"0.3762","0.3762","0.3300","0.3404"
08/18/2022,"0.3757","0.3762","0.3659","0.3759"
08/17/2022,"0.3704","0.3852","0.3622","0.3757"
08/16/2022,"0.3681","0.3729","0.3610","0.3704"
08/15/2022,"0.3697","0.3755","0.3580","0.3681"
08/14/2022,"0.3698","0.3820","0.3651","0.3697"
08/13/2022,"0.3686","0.3771","0.3665","0.3698"
08/12/2022,"0.3695","0.3703","0.3601","0.3686"
08/11/2022,"0.3679","0.3745","0.3656","0.3698"
