Date,Open,High,Low,Close
12/04/2023,0.3604,0.3816,0.3604,0.3718
12/03/2023,0.3649,0.3698,0.3567,0.3602
12/02/2023,0.3525,0.365,0.3513,0.3647
12/01/2023,0.3453,0.3543,0.3433,0.3525
11/30/2023,0.348,0.3497,0.3407,0.345
11/29/2023,0.3509,0.3542,0.3444,0.348
11/28/2023,0.3414,0.3538,0.3375,0.3509
11/27/2023,0.3546,0.3589,0.3393,0.3412
11/26/2023,0.3613,0.3619,0.3475,0.3546
11/25/2023,0.3538,0.3622,0.351,0.3613
11/24/2023,0.3509,0.365,0.3501,0.354
11/23/2023,0.3515,0.3547,0.3454,0.3507
11/22/2023,0.3388,0.3559,0.3262,0.3515
11/21/2023,0.3504,0.3559,0.3308,0.3388
11/20/2023,0.3502,0.366,0.3472,0.3506
11/19/2023,0.3452,0.3526,0.3388,0.3502
11/18/2023,0.3328,0.3453,0.3208,0.3452
11/17/2023,0.34,0.3481,0.3248,0.3328
11/16/2023,0.3465,0.3769,0.331,0.3402
11/15/2023,0.3297,0.349,0.3253,0.3465
11/14/2023,0.3361,0.3455,0.3144,0.3297
11/13/2023,0.3628,0.3639,0.3304,0.3365
11/12/2023,0.3598,0.3668,0.348,0.3625
11/11/2023,0.3539,0.3701,0.3465,0.3598
11/10/2023,0.3396,0.3563,0.3392,0.3539
11/09/2023,0.3325,0.3605,0.3276,0.3396
11/08/2023,0.3296,0.3368,0.3253,0.3326
11/07/2023,0.342,0.344,0.3128,0.3296
11/06/2023,0.3185,0.35,0.3153,0.342
11/05/2023,0.3037,0.3266,0.3037,0.3183
11/04/2023,0.303,0.308,0.2999,0.3037
11/03/2023,0.303,0.3078,0.2932,0.3025
11/02/2023,0.2902,0.3106,0.2817,0.303
11/01/2023,0.2784,0.2901,0.2692,0.2901
10/31/2023,0.2833,0.2874,0.269,0.2786
10/30/2023,0.2814,0.285,0.2768,0.2833
10/29/2023,0.2758,0.2829,0.2731,0.2813
10/28/2023,0.2738,0.2816,0.2724,0.2758
10/27/2023,0.2704,0.2764,0.2658,0.2734
10/26/2023,0.2639,0.282,0.2635,0.2704
10/25/2023,0.2608,0.274,0.2597,0.2638
10/24/2023,0.253,0.2767,0.2521,0.2608
10/23/2023,0.2466,0.2553,0.2452,0.2529
10/22/2023,0.2451,0.2484,0.2419,0.2467
10/21/2023,0.2369,0.2478,0.2358,0.2451
10/20/2023,0.2321,0.2391,0.2316,0.2369
10/19/2023,0.2312,0.2328,0.2279,0.2322
10/18/2023,0.2327,0.2346,0.2308,0.2312
10/17/2023,0.2376,0.2388,0.2323,0.2328
10/16/2023,0.2363,0.2456,0.2345,0.2376
10/15/2023,0.2351,0.2363,0.2336,0.2363
10/14/2023,0.2351,0.2374,0.2331,0.235
10/13/2023,0.2326,0.2355,0.2323,0.2351
10/12/2023,0.2324,0.2334,0.2297,0.2325
10/11/2023,0.2342,0.2354,0.2313,0.2324
10/10/2023,0.2384,0.2395,0.2327,0.2342
10/09/2023,0.2427,0.2452,0.2363,0.2383
10/08/2023,0.2437,0.2449,0.2416,0.2427
10/07/2023,0.2508,0.2522,0.2427,0.2437
10/06/2023,0.2484,0.2516,0.246,0.2508
10/05/2023,0.2452,0.2508,0.2441,0.2484
10/04/2023,0.2466,0.2585,0.2466,0.2539
10/02/2023,0.2466,0.2585,0.2466,0.2539
10/01/2023,0.2403,0.2494,0.2393,0.2466
09/30/2023,0.2357,0.2409,0.2342,0.2403
09/29/2023,0.236,0.2414,0.2345,0.2357
09/28/2023,0.2329,0.2369,0.2315,0.236
09/27/2023,0.2311,0.2351,0.2298,0.2329
09/26/2023,0.2304,0.2337,0.2303,0.2311
09/25/2023,0.2297,0.2321,0.2263,0.2304
09/24/2023,0.2311,0.2314,0.229,0.2298
09/23/2023,0.2288,0.2319,0.2282,0.2311
09/22/2023,0.2309,0.2313,0.2279,0.2288
09/21/2023,0.2359,0.2379,0.2304,0.2311
09/20/2023,0.2389,0.2397,0.2347,0.2359
09/19/2023,0.2356,0.241,0.2345,0.2389
09/18/2023,0.2298,0.2393,0.2291,0.2356
09/17/2023,0.2335,0.2354,0.2294,0.2294
09/16/2023,0.2326,0.2377,0.2326,0.2335
09/15/2023,0.2351,0.2392,0.23,0.2326
09/14/2023,0.2319,0.2369,0.2293,0.2351
09/13/2023,0.2293,0.2324,0.2266,0.2319
09/12/2023,0.2233,0.2351,0.2233,0.2294
09/11/2023,0.2323,0.2334,0.2206,0.2233
09/10/2023,0.2367,0.2372,0.2288,0.2323
09/09/2023,0.2365,0.239,0.2361,0.2367
09/08/2023,0.2397,0.2423,0.2364,0.2366
09/07/2023,0.2392,0.2407,0.2367,0.2396
09/06/2023,0.239,0.2421,0.236,0.2392
09/05/2023,0.2365,0.2413,0.2347,0.2389
09/04/2023,0.237,0.2408,0.2355,0.2363
09/03/2023,0.2366,0.2382,0.2348,0.237
09/02/2023,0.2367,0.2387,0.2354,0.2365
09/01/2023,0.2341,0.2387,0.2319,0.2367
08/31/2023,0.2423,0.2449,0.2314,0.2339
08/30/2023,0.2521,0.2531,0.2388,0.2423
08/29/2023,0.2455,0.2579,0.2404,0.2523
08/28/2023,0.2429,0.2469,0.2388,0.2455
08/27/2023,0.242,0.2457,0.241,0.2429
08/26/2023,0.2409,0.2421,0.2387,0.242
08/25/2023,0.2435,0.2505,0.24,0.2409
08/24/2023,0.246,0.2495,0.242,0.2435
08/23/2023,0.2359,0.2483,0.2311,0.2464
08/22/2023,0.2429,0.2433,0.2319,0.2359
08/21/2023,0.2499,0.2505,0.2375,0.2429
08/20/2023,0.2471,0.2512,0.2441,0.2498
08/19/2023,0.2427,0.2484,0.2399,0.2471
08/18/2023,0.2484,0.2489,0.2264,0.243
08/17/2023,0.2489,0.2555,0.244,0.2483
08/16/2023,0.2594,0.2594,0.2466,0.2487
08/15/2023,0.2656,0.2665,0.2521,0.2592
08/14/2023,0.2667,0.2673,0.2623,0.2656
08/13/2023,0.2659,0.2678,0.2648,0.2667
08/12/2023,0.2672,0.269,0.2658,0.2659
08/11/2023,0.2701,0.2706,0.2668,0.2672
08/10/2023,0.2735,0.2748,0.2691,0.2701
08/09/2023,0.2736,0.2755,0.2698,0.2735
08/08/2023,0.2625,0.2765,0.2624,0.2736
08/07/2023,0.2659,0.2685,0.2563,0.2625
08/06/2023,0.2654,0.2685,0.2638,0.2659
08/05/2023,0.2643,0.2669,0.2635,0.2654
08/04/2023,0.269,0.2693,0.2639,0.2643
08/03/2023,0.276,0.276,0.2677,0.269
08/02/2023,0.2788,0.2826,0.2722,0.276
08/01/2023,0.2805,0.2813,0.2699,0.2788
07/31/2023,0.2822,0.2884,0.2795,0.2804
07/30/2023,0.2842,0.2886,0.2772,0.2822
07/29/2023,0.282,0.285,0.28,0.2842
07/28/2023,0.2797,0.2842,0.2789,0.282
07/27/2023,0.2787,0.2821,0.2756,0.2797
07/26/2023,0.2741,0.2798,0.271,0.2788
07/25/2023,0.2751,0.2788,0.2727,0.2741
07/24/2023,0.2854,0.2867,0.271,0.2751
07/23/2023,0.2809,0.2867,0.2756,0.2854
07/22/2023,0.2816,0.283,0.2763,0.2809
07/21/2023,0.2833,0.2859,0.2794,0.2816
07/20/2023,0.2878,0.2964,0.2815,0.2833
07/19/2023,0.2699,0.2911,0.2694,0.2877
07/18/2023,0.2748,0.2792,0.2687,0.2699
07/17/2023,0.2817,0.2849,0.2724,0.2748
07/16/2023,0.2921,0.2921,0.2797,0.2816
07/15/2023,0.2879,0.3008,0.2876,0.2922
07/14/2023,0.3026,0.335,0.2828,0.2879
07/13/2023,0.2584,0.3272,0.2568,0.3025
07/12/2023,0.2638,0.2679,0.2562,0.2584
07/11/2023,0.264,0.2668,0.2605,0.2638
07/10/2023,0.2599,0.2661,0.2542,0.264
07/09/2023,0.2635,0.2661,0.259,0.2594
07/08/2023,0.2587,0.2671,0.2574,0.2635
07/07/2023,0.2603,0.2617,0.2541,0.2587
07/06/2023,0.2612,0.2699,0.255,0.2603
07/05/2023,0.271,0.2724,0.2574,0.2612
07/04/2023,0.2721,0.2762,0.2665,0.271
07/03/2023,0.2648,0.2741,0.2645,0.2721
07/02/2023,0.266,0.2692,0.2622,0.2648
07/01/2023,0.2625,0.2686,0.2583,0.266
06/30/2023,0.2521,0.2757,0.2468,0.2625
06/29/2023,0.2469,0.255,0.2444,0.2521
06/28/2023,0.2621,0.2642,0.241,0.2467
06/27/2023,0.2564,0.2618,0.2542,0.2618
06/26/2023,0.2677,0.2688,0.2557,0.2564
06/25/2023,0.2654,0.2791,0.2642,0.2677
06/24/2023,0.2754,0.2757,0.2612,0.2654
06/23/2023,0.2687,0.2777,0.2636,0.2754
06/22/2023,0.2592,0.2765,0.2574,0.2686
06/21/2023,0.2458,0.2621,0.2433,0.2587
06/20/2023,0.2403,0.2467,0.2313,0.2459
06/19/2023,0.2398,0.241,0.2352,0.2403
06/18/2023,0.2438,0.2458,0.238,0.2398
06/17/2023,0.2413,0.2499,0.2384,0.2438
06/16/2023,0.2394,0.2442,0.2327,0.2413
06/15/2023,0.2385,0.2454,0.2307,0.2394
06/14/2023,0.2544,0.2564,0.2374,0.2383
06/13/2023,0.257,0.2667,0.2494,0.2544
06/12/2023,0.2569,0.2656,0.2472,0.2571
06/11/2023,0.2473,0.2616,0.2418,0.2569
06/10/2023,0.2809,0.2809,0.2111,0.247
06/09/2023,0.3012,0.3012,0.2775,0.2805
06/08/2023,0.3017,0.3067,0.2969,0.3012
06/07/2023,0.3289,0.331,0.2972,0.3017
06/06/2023,0.3275,0.3333,0.3155,0.3289
06/05/2023,0.3557,0.3563,0.3247,0.3276
06/04/2023,0.3498,0.3566,0.3497,0.3556
