Date,Open,High,Low,Close
12/04/2023,25.945,26.34,24.785,24.907
12/01/2023,25.695,25.94,25.48,25.857
11/30/2023,25.41,25.7,25.325,25.66
11/29/2023,25.43,25.68,25.245,25.443
11/28/2023,24.7,25.065,24.585,24.935
11/27/2023,24.375,24.935,24.32,24.681
11/24/2023,23.755,24.395,23.61,24.341
11/22/2023,23.795,24.005,23.58,23.688
11/21/2023,23.485,24.08,23.47,23.869
11/20/2023,23.785,23.87,23.3,23.614
11/17/2023,23.825,24.22,23.73,23.852
11/16/2023,23.51,24.165,23.35,23.933
11/15/2023,23.16,23.71,23.095,23.538
11/14/2023,22.37,23.255,22.15,23.132
11/13/2023,22.31,22.405,21.925,22.358
11/10/2023,22.705,22.8,22.23,22.281
11/09/2023,22.625,23.07,22.415,22.905
11/08/2023,22.705,22.935,22.375,22.728
11/07/2023,23.125,23.17,22.505,22.589
11/06/2023,23.335,23.36,23.085,23.234
11/03/2023,22.875,23.415,22.675,23.285
11/02/2023,23.05,23.24,22.755,22.846
11/01/2023,22.955,23.13,22.645,22.79
10/31/2023,23.455,23.465,22.84,22.952
10/30/2023,23.245,23.75,23.135,23.396
10/27/2023,22.935,23.255,22.775,22.887
10/26/2023,23.005,23.275,22.565,22.908
10/25/2023,23.06,23.16,22.69,23.007
10/24/2023,23.095,23.35,22.805,23.116
10/23/2023,23.505,23.505,22.85,23.21
10/20/2023,23.19,23.88,23.015,23.504
10/19/2023,23.015,23.23,22.785,23.031
10/18/2023,22.975,23.49,22.84,23.099
10/17/2023,22.78,23.18,22.535,23.024
10/16/2023,22.91,22.91,22.635,22.765
10/13/2023,21.985,22.99,21.96,22.895
10/12/2023,22.205,22.39,21.88,21.959
10/11/2023,22.015,22.275,21.955,22.133
10/10/2023,22.03,22.11,21.775,21.953
10/09/2023,21.94,22.18,21.705,21.924
10/06/2023,21.12,21.78,20.94,21.723
10/05/2023,21.18,21.455,20.855,21.019
10/04/2023,21.375,21.57,20.85,21.146
10/03/2023,21.31,21.595,20.87,21.377
10/02/2023,22.41,22.41,21.215,21.421
09/29/2023,22.84,23.805,22.325,22.45
09/28/2023,22.8,22.955,22.61,22.741
09/27/2023,23.1,23.12,22.64,22.724
09/26/2023,23.39,23.39,23.1,23.196
09/25/2023,23.81,23.925,23.29,23.385
09/22/2023,23.675,24.05,23.665,23.844
09/21/2023,23.52,23.745,23.06,23.687
09/20/2023,23.48,23.88,23.325,23.836
09/19/2023,23.53,23.705,23.365,23.456
09/18/2023,23.32,23.54,23.235,23.498
09/15/2023,22.93,23.585,22.91,23.386
09/14/2023,23.14,23.265,22.555,22.994
09/13/2023,23.375,23.39,23.025,23.181
09/12/2023,23.39,23.48,23.11,23.402
09/11/2023,23.195,23.515,23.18,23.383
09/08/2023,23.26,23.455,23.13,23.174
09/07/2023,23.5,23.5,23.13,23.24
09/06/2023,23.88,23.935,23.315,23.503
09/05/2023,24.365,24.365,23.815,23.873
09/01/2023,24.82,25.22,24.52,24.562
08/31/2023,25.02,25.06,24.745,24.812
08/30/2023,24.78,25.06,24.57,24.734
08/29/2023,24.275,24.845,24.205,24.788
08/28/2023,24.275,24.395,24.085,24.252
08/25/2023,24.19,24.44,23.97,24.234
